word	k	p	sqrt_kp	sum	DF	DFtoWF	cluster	pq
krupki	0.0001	0.0135669164987741	0.0135672850373503	14	1	0.0714285714285714	3	0.0137535092097884
kamen	0.00241931683351189	0.0201906380630328	0.0203350672320822	234	18	0.0769230769230769	3	0.0206067004943883
chavusy	0.0001	0.0209098230543088	0.0209100621750033	9	1	0.111111111111111	3	0.0213563812064153
lyepyel	0.0279052307028352	0.0176212685966115	0.0330031969289701	2993	199	0.0664884731039091	3	0.0179373474132918
heading	0.0181549360594572	0.0369324796785231	0.0411534902350639	910	110	0.120879120879121	3	0.0383487958001063
header	0.000262278353473212	0.0412662457802385	0.0412670792609526	17	2	0.117647058823529	3	0.0430424459330962
smarhoń	0.00257675621861986	0.059528309075348	0.0595840520104194	80	14	0.175	3	0.0632962264040304
paragraph	0.00107626900953749	0.0633248018124882	0.0633339472918892	38	4	0.105263157894737	3	0.067605934196852
currency	0.00042725676100817	0.116925235653839	0.116926016271169	6	2	0.333333333333333	3	0.132406949416579
printing	0.000735459009616204	0.117058937744615	0.117061248096253	6	3	0.5	5	0.132578427653596
revolutionized	0.00145481251048222	0.117633812217488	0.117642807924071	6	5	0.833333333333333	6	0.133316319059228
birthplace	0.00145481251048224	0.117633812217489	0.117642807924072	6	5	0.833333333333333	6	0.133316319059229
ambitious	0.00145481251048224	0.117633812217489	0.117642807924072	6	5	0.833333333333333	6	0.133316319059229
quarter	0.00145481251048224	0.117633812217488	0.117642807924072	6	5	0.833333333333333	6	0.133316319059229
enrichment	0.00145481251048224	0.117633812217488	0.117642807924072	6	5	0.833333333333333	6	0.133316319059229
offbeat	0.00145481251048224	0.117633812217488	0.117642807924072	6	5	0.833333333333333	6	0.133316319059229
kupalie	0.00145481251048224	0.117633812217489	0.117642807924072	6	5	0.833333333333333	6	0.133316319059229
pilgrimage	0.00145481251048224	0.117633812217488	0.117642807924072	6	5	0.833333333333333	6	0.133316319059229
excellence	0.00145481251048224	0.117633812217488	0.117642807924072	6	5	0.833333333333333	6	0.133316319059229
struggle	0.00156585268173592	0.117714114335448	0.117724528490879	6	6	1	8	0.133419468959071
