Word,Frequency,FrequencyperToken,FrequencyperBillion
and,60346,0.043754984846067956,43754984.84606796
the,56498,0.04096492118505199,40964921.18505199
a,41631,0.03018532751345002,30185327.51345002
to,36208,0.026253280935048362,26253280.93504836
of,33227,0.024091851679983758,24091851.679983757
your,26292,0.019063501500891835,19063501.500891834
in,23846,0.01728998390347888,17289983.90347888
with,23030,0.016698327991995245,16698327.991995245
smarhon,22343,0.01620020591945939,16200205.91945939
qoq,21315,0.015454835481953045,15454835.481953045
me,21280,0.015429458083788919,15429458.083788918
you,19780,0.014341855305326353,14341855.305326354
for,16246,0.01177946315926855,11779463.15926855
s,12872,0.009333081976246755,9333081.976246756
is,11631,0.008433271944198727,8433271.944198728
offers,10795,0.00782711466233559,7827114.66233559
its,10477,0.007596542873301527,7596542.8733015265
town,10068,0.007299989849040734,7299989.849040735
that,9586,0.006950506822894763,6950506.822894763
or,9505,0.0068917762728577855,6891776.272857785
our,9448,0.006850447367276208,6850447.367276208
history,8178,0.005929610348177902,5929610.348177902
platform,8138,0.005900607607418901,5900607.607418901
social,7527,0.00545759074232515,5457590.74232515
media,7202,0.005221943473658261,5221943.473658261
on,6750,0.004894212503081541,4894212.5030815415
gaming,6650,0.004821705651184037,4821705.651184037
can,6229,0.004516451804695544,4516451.804695544
has,6219,0.004509201119505793,4509201.119505793
from,5997,0.0043482359082933335,4348235.908293334
this,5710,0.004140141243347497,4140141.2433474967
events,5677,0.0041162139822213195,4116213.9822213193
experience,5597,0.004058208500703316,4058208.500703316
job,5389,0.003907394248756507,3907394.2487565074
an,5383,0.003903043837642657,3903043.837642657
classifieds,5206,0.0037747067097840745,3774706.7097840747
it,4971,0.0036043156078249395,3604315.60782494
connect,4888,0.003544134920750011,3544134.9207500108
advertising,4859,0.0035231079336997344,3523107.9336997345
explore,4806,0.003484679302194057,3484679.302194057
belarus,4716,0.0034194231354863036,3419423.1354863034
opportunities,4716,0.0034194231354863036,3419423.1354863034
as,4712,0.0034165228614104035,3416522.8614104036
ai,4709,0.003414347655853478,3414347.6558534782
through,4684,0.003396220942879102,3396220.942879102
looking,4406,0.00319465189460404,3194651.89460404
free,4362,0.003162748879769138,3162748.879769138
historical,4228,0.0030655896982264823,3065589.698226482
into,4156,0.0030133847648602793,3013384.7648602794
groups,4144,0.003004683942632579,3004683.942632579
www,4033,0.002924201337026349,2924201.3370263493
cultural,3927,0.0028473440740149946,2847344.074014995
re,3789,0.0027472846183964387,2747284.6183964387
discover,3737,0.0027095810554097362,2709581.055409736
section,3702,0.0026842036572456095,2684203.6572456094
by,3646,0.0026435998201830074,2643599.8201830075
are,3640,0.002639249409069157,2639249.409069157
local,3617,0.002622572833132731,2622572.833132731
visit,3603,0.0026124218738670804,2612421.8738670805
whether,3603,0.0026124218738670804,2612421.8738670805
rich,3542,0.002568192694209603,2568192.694209603
century,3477,0.002521063240476225,2521063.240476225
movies,3425,0.002483359677489523,2483359.677489523
various,3390,0.002457982279325396,2457982.2793253963
exploring,3307,0.0023978015922504676,2397801.5922504677
features,3260,0.0023637233718586405,2363723.3718586406
blog,3250,0.0023564726866688902,2356472.68666889
community,3188,0.0023115184384924375,2311518.4384924374
range,3179,0.002304992821821662,2304992.821821662
images,3166,0.0022955669310749864,2295566.9310749862
find,3109,0.002254238025493409,2254238.025493409
stay,3078,0.002231760901405183,2231760.9014051827
make,3053,0.002213634188430807,2213634.188430807
all,3044,0.0022071085717600314,2207108.5717600314
texts,3042,0.0022056584347220813,2205658.4347220813
online,3026,0.0021940573384184804,2194057.3384184805
castle,2996,0.002172305282849229,2172305.282849229
lyepyel,2993,0.002170130077292304,2170130.077292304
share,2971,0.002154178569874853,2154178.569874853
latest,2966,0.0021505532272799778,2150553.227279978
services,2906,0.0021070491161414755,2107049.1161414757
back,2850,0.002066445279078873,2066445.2790788729
individuals,2843,0.0020613697994460475,2061369.7994460475
like,2831,0.002052668977218347,2052668.9772183471
engage,2808,0.0020359924012819212,2035992.4012819212
heritage,2758,0.001999738975333169,1999738.9753331689
one,2676,0.0019402833567772155,1940283.3567772156
architectural,2614,0.0018953291086007628,1895329.1086007627
provides,2541,0.0018423991067155847,1842399.1067155846
beauty,2513,0.0018220971881842834,1822097.1881842834
forum,2485,0.0018017952696529822,1801795.2696529822
past,2476,0.0017952696529822069,1795269.6529822068
wide,2469,0.0017901941733493815,1790194.1733493814
tips,2457,0.001781493351121681,1781493.351121681
world,2392,0.0017343638973883033,1734363.8973883032
natural,2362,0.001712611841819052,1712611.841819052
content,2350,0.0017039110195913513,1703911.0195913513
hidden,2324,0.0016850592380980003,1685059.2380980004
we,2287,0.0016582317028959236,1658231.7028959235
captivating,2280,0.0016531562232630984,1653156.2232630984
be,2220,0.0016096521121245957,1609652.1121245958
nature,2205,0.0015987760843399702,1598776.0843399703
minded,2182,0.001582099508403544,1582099.508403544
yourself,2132,0.001545846082454792,1545846.082454792
destination,2129,0.0015436708768978668,1543670.8768978668
fundings,2116,0.0015342449861511912,1534244.9861511912
where,2100,0.0015226438898475905,1522643.8898475906
visitors,2068,0.0014994416972403891,1499441.6972403892
new,2064,0.001496541423164489,1496541.423164489
unique,2059,0.0014929160805696139,1492916.080569614
enthusiasts,2059,0.0014929160805696139,1492916.080569614
audience,2058,0.0014921910120506388,1492191.012050639
out,2043,0.0014813149842660132,1481314.9842660131
exciting,2042,0.0014805899157470381,1480589.915747038
options,2039,0.001478414710190113,1478414.710190113
listings,2029,0.0014711640250003625,1471164.0250003624
gem,2018,0.001463188271291637,1463188.2712916369
immerse,2004,0.0014530373120259866,1453037.3120259866
also,1998,0.0014486869009121362,1448686.900912136
take,1997,0.0014479618323931611,1447961.832393161
tricks,1988,0.0014414362157223859,1441436.2157223858
picturesque,1979,0.0014349105990516104,1434910.5990516103
vibrant,1972,0.0014298351194187852,1429835.1194187852
will,1971,0.0014291100508998101,1429110.0508998102
architecture,1963,0.0014233095027480097,1423309.5027480097
forums,1946,0.001410983337925434,1410983.3379254339
enhance,1944,0.0014095332008874839,1409533.2008874838
join,1935,0.0014030075842167084,1403007.5842167083
website,1920,0.001392131556432083,1392131.556432083
at,1911,0.0013856059397613074,1385605.9397613076
landscapes,1901,0.001378355254571557,1378355.2545715568
discussions,1883,0.0013653040212300062,1365304.0212300061
interests,1877,0.001360953610116156,1360953.610116156
most,1855,0.001345002102698705,1345002.1026987052
church,1841,0.0013348511434330545,1334851.1434330544
business,1839,0.0013334010063951044,1333401.0063951043
engaging,1815,0.0013159993619397032,1315999.3619397033
landmarks,1812,0.0013138241563827781,1313824.1563827782
jobs,1811,0.0013130990878638031,1313099.0878638031
generated,1809,0.001311648950825853,1311648.950825853
about,1806,0.001309473745268928,1309473.745268928
entertainment,1789,0.0012971475804463522,1297147.5804463523
region,1773,0.0012855464841427515,1285546.4841427514
conclusion,1737,0.00125944401745965,1259444.01745965
charming,1722,0.0012485679896750243,1248567.9896750243
needs,1695,0.001228991139662698,1228991.1396626981
culture,1694,0.001228266071143723,1228266.071143723
movie,1680,0.0012181151118780724,1218115.1118780724
more,1677,0.0012159399063211473,1215939.9063211472
potential,1675,0.0012144897692831973,1214489.7692831974
diverse,1666,0.0012079641526124218,1207964.152612422
stunning,1664,0.0012065140155744717,1206514.0155744718
fascinating,1637,0.0011869371655621457,1186937.1655621456
comprehensive,1632,0.0011833118229672703,1183311.8229672704
their,1607,0.0011651851099928944,1165185.1099928943
ultimate,1600,0.001160109630360069,1160109.630360069
offer,1596,0.0011572093562841688,1157209.3562841688
located,1594,0.0011557592192462187,1155759.2192462187
experiences,1572,0.0011398077118287679,1139807.7118287678
seeking,1565,0.0011347322321959424,1134732.2321959424
reach,1553,0.001126031409968242,1126031.409968242
belarusian,1548,0.0011224060673733667,1122406.0673733668
attractions,1531,0.001110079902550791,1110079.902550791
today,1515,0.0010984788062471903,1098478.8062471903
funding,1479,0.0010723763395640888,1072376.3395640887
have,1461,0.001059325106222538,1059325.106222538
witnessed,1452,0.0010527994895517627,1052799.4895517628
time,1405,0.0010187212691599357,1018721.2691599356
must,1402,0.0010165460636030106,1016546.0636030106
journey,1391,0.001008570309894285,1008570.309894285
perfect,1361,0.0009868182543250337,986818.2543250336
something,1335,0.0009679664728316826,967966.4728316825
innovative,1311,0.0009505648283762815,950564.8283762815
including,1300,0.0009425890746675561,942589.0746675561
centuries,1287,0.0009331631839208806,933163.1839208805
making,1279,0.0009273626357690802,927362.6357690803
which,1263,0.0009157615394654795,915761.5394654796
products,1254,0.0009092359227947041,909235.9227947041
if,1248,0.0009048855116808538,904885.5116808539
blogs,1248,0.0009048855116808538,904885.5116808539
was,1245,0.0009027103061239288,902710.3061239287
exclusive,1237,0.0008969097579721284,896909.7579721285
create,1236,0.0008961846894531533,896184.6894531533
let,1224,0.0008874838672254528,887483.8672254528
ideas,1208,0.0008758827709218521,875882.7709218521
who,1206,0.000874432633883902,874432.633883902
glimpse,1203,0.000872257428326977,872257.428326977
miss,1201,0.0008708072912890268,870807.2912890267
sell,1199,0.0008693571542510767,869357.1542510767
t,1198,0.0008686320857321017,868632.0857321017
16th,1197,0.0008679070172131267,867907.0172131266
dates,1195,0.0008664568801751766,866456.8801751765
known,1181,0.000856305920909526,856305.920909526
updated,1179,0.0008548557838715759,854855.7838715758
provide,1174,0.0008512304412767006,851230.4412767006
2,1174,0.0008512304412767006,851230.4412767006
additionally,1173,0.0008505053727577256,850505.3727577257
user,1167,0.0008461549616438753,846154.9616438753
users,1161,0.0008418045505300251,841804.5505300252
significance,1156,0.0008381792079351499,838179.2079351499
1,1152,0.0008352789338592496,835278.9338592497
games,1145,0.0008302034542264244,830203.4542264245
travel,1138,0.0008251279745935991,825127.9745935991
